Objectid;Punktname;Rubrik;Kante;Nummer_nach;Id_opendata;V_coord;H_coord
151;Bümpliz Bachmätteli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Weyermannshaus Bad</li><li>32 Bachmätteli</li></ul>";8571436;1198836.038;2596450.225
152;Bümpliz Höhe;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Ostring</li></ul>";8579899;1199015.405;2596837.55
153;Bümpliz Höhe;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Bümpliz</li></ul>";8579899;1199028.156;2596833.873
155;Bümpliz Nord Bahnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Niederwangen Bahnhof</li></ul>";8579523;1199391.653;2596363.516
156;Bümpliz Nord Bahnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Weyermannshaus Bad</li></ul>";8579523;1199392.498;2596307.637
157;Bümpliz Post;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Bümpliz</li></ul>";8579900;1198951.023;2596545.304
158;Bümpliz Post;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Weyermannshaus Bad</li></ul>";8579900;1198935.937;2596472.059
159;Bümpliz Post;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Ostring</li></ul>";8579900;1198945.236;2596573.064
160;Bümpliz Post;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Niederwangen Bahnhof</li></ul>";8579900;1198924.722;2596476.526
161;Bümpliz Schloss;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Niederwangen Bahnhof</li></ul>";8582225;1199197.116;2596386.074
162;Bümpliz Schloss;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Weyermannshaus Bad</li></ul>";8582225;1199178.621;2596389.475
163;Bümpliz Süd Bahnhof;Haltestelle;A;"<ul style=""padding-left: 15px;""><li>27 Niederwangen Bahnhof</li></ul>";8589226;1198502.116;2596682.05
164;Bümpliz Süd Bahnhof;Haltestelle;B;"<ul style=""padding-left: 15px;""><li>27 Weyermannshaus Bad</li></ul>";8589226;1198525.111;2596700.043
165;Bümpliz Süd Bahnhof;Haltestelle;C;"<ul style=""padding-left: 15px;""><li>31 Niederwangen Erle</li></ul>";8589226;1198483.572;2596734.483
166;Bümpliz Süd Bahnhof;Haltestelle;D;"<ul style=""padding-left: 15px;""><li>31 Brunnadernstrasse</li></ul>";8589226;1198496.273;2596762.271
167;Bümpliz Unterführung;Haltestelle;;"<ul style=""padding-left: 15px;""><li>8 Brünnen Westside Bahnhof</li></ul>";8579898;1199051.859;2597130.511
168;Bümpliz Unterführung;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Bümpliz</li></ul>";8579898;1199016.188;2597070.745
169;Bümpliz Unterführung;Haltestelle;;"<ul style=""padding-left: 15px;""><li>8 Saali</li></ul>";8579898;1199042.472;2597111.58
170;Bümpliz Unterführung;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Ostring</li></ul>";8579898;1199002.889;2597073.483
171;Bündenackerstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>22 Brünnen Westside Bahnhof</li></ul>";8502906;1197520.863;2598832.338
172;Bündenackerstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>22 Wabern Lindenweg</li></ul>";8502906;1197504.4;2598817.039
173;Bundesplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Köniz Schliern</li><li>19 Blinzern</li></ul>";8590048;1199583.382;2600435.451
174;Bundesplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Ostermundigen Rüti</li><li>19 Elfenau</li></ul>";8590048;1199517.072;2600349.066
175;Burgernziel;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Ostring</li></ul>";8587481;1198985.736;2602154.409
176;Burgernziel;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Bümpliz</li></ul>";8587481;1198992.85;2602150.434
177;Buttenried;Haltestelle;;"<ul style=""padding-left: 15px;""><li>570 Brünnen Westside</li></ul>";8571458;1201359.977;2587674.235
178;Buttenried;Haltestelle;;"<ul style=""padding-left: 15px;""><li>570 Mühleberg, Post</li></ul>";8571458;1201278.14;2587687.301
179;Cäcilienstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>6 Fischermätteli</li></ul>";8590011;1198942.952;2598997.031
180;Cäcilienstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>6 Worb Dorf</li></ul>";8590011;1198938.013;2599004.466
181;Camping Eichholz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>29 Niederwangen Bahnhof</li></ul>";8590102;1197708.295;2601201.49
182;Camping Eichholz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>29 Wabern Lindenweg</li></ul>";8590102;1197703.979;2601190.474
183;Chäs und Brot;Haltestelle;;"<ul style=""padding-left: 15px;""><li>32 Riedbach Bahnhof</li></ul>";8571439;1198296.017;2593631.689
184;Chäs und Brot;Haltestelle;;"<ul style=""padding-left: 15px;""><li>32 Bachmätteli</li></ul>";8571439;1198291.025;2593738.804
185;Chrottengässli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>46 Habstetten Rössli</li><li>48 Bolligen Bahnhof</li></ul>";8589011;1202996.058;2604793.112
186;Chueweid;Haltestelle;;"<ul style=""padding-left: 15px;""><li>31 Brunnadernstrasse</li></ul>";8582554;1198072.699;2596365.055
187;Chueweid;Haltestelle;;"<ul style=""padding-left: 15px;""><li>31 Niederwangen Erle</li></ul>";8582554;1198065.005;2596341.979
188;Chutze;Haltestelle;;"<ul style=""padding-left: 15px;""><li>33 Ittigen Talgut-Zentrum</li></ul>";8589020;1202434.097;2599951.122
189;Chutze;Haltestelle;;"<ul style=""padding-left: 15px;""><li>33 Bremgarten Seftau</li></ul>";8589020;1202493.097;2599953.122
190;Coop;Haltestelle;;"<ul style=""padding-left: 15px;""><li>36 Breitenrain</li><li>36 Münchenbuchsee, Hüslimoos</li></ul>";8576975;1207676.691;2600527.507
191;Dalmazibrücke;Haltestelle;;"<ul style=""padding-left: 15px;""><li>30 Bern Bahnhof</li></ul>";8590111;1199322.878;2600484.749
192;Dampfzentrale;Haltestelle;;"<ul style=""padding-left: 15px;""><li>30 Bern Bahnhof</li></ul>";8590115;1198859.445;2600207.598
193;Dändlikerweg;Haltestelle;;"<ul style=""padding-left: 15px;""><li>26 Breitenrain</li></ul>";8590039;1201422.332;2600548.769
195;Dennigkofen;Haltestelle;;"<ul style=""padding-left: 15px;""><li>44 Bolligen Bahnhof</li></ul>";8577008;1199827.021;2603852.1
196;Dennigkofen;Haltestelle;;"<ul style=""padding-left: 15px;""><li>44 Gümligen, Bahnhof (Tram)</li><li>44 Sonnenfeld</li></ul>";8577008;1199804.021;2603846.1
197;Dennigkofengässli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Weissenbühl Bahnhof</li></ul>";8590093;1199293.629;2603383.258
198;Dennigkofengässli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Wankdorf Bahnhof</li></ul>";8590093;1199289.967;2603390.684
199;Detligen Jucher;Haltestelle;;"<ul style=""padding-left: 15px;""><li>100 Aarberg, Post/Bahnhof</li></ul>";8507995;1205968.366;2586772.823
200;Detligen Jucher;Haltestelle;;"<ul style=""padding-left: 15px;""><li>100 Bern Bahnhof</li></ul>";8507995;1205987.787;2586732.485
201;Detligen Post;Haltestelle;;"<ul style=""padding-left: 15px;""><li>100 Aarberg, Post/Bahnhof</li><li>100 Bern Bahnhof</li></ul>";8579900;1205640.502;2587369.474
202;Detligen Schulhausweg;Haltestelle;;"<ul style=""padding-left: 15px;""><li>100 Aarberg, Post/Bahnhof</li></ul>";8571353;1205596.599;2587850.217
203;Detligen Schulhausweg;Haltestelle;;"<ul style=""padding-left: 15px;""><li>100 Bern Bahnhof</li></ul>";8571353;1205594.853;2587776.011
204;Drahtseilbahn Marzili Bergstation;Station Drahtseilbahn;;"<ul style=""padding-left: 15px;""><li>FUN 2 Drahtseilbahn Marzili Bergstation</li><li>FUN 2 Drahtseilbahn Marzili Talstation</li></ul>";8530257;1199429.206;2600270.408
205;Drahtseilbahn Marzili Talstation;Station Drahtseilbahn;;"<ul style=""padding-left: 15px;""><li>FUN 2 Drahtseilbahn Marzili Bergstation</li><li>FUN 2 Drahtseilbahn Marzili Talstation</li></ul>";8530258;1199348.242;2600337.211
206;Dübystrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Köniz Schliern</li></ul>";8590054;1198379.342;2598978.958
207;Dübystrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Ostermundigen Rüti</li></ul>";8590054;1198326.586;2598974.416
208;Dunkerstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Wankdorf Bahnhof</li></ul>";8590092;1199234.094;2603149.979
209;Dunkerstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Weissenbühl Bahnhof</li></ul>";8590092;1199236.651;2603158.662
210;Egghölzli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>40 Allmendingen Käserei</li><li>40 Sonnenfeld</li><li>6 Worb Dorf</li></ul>";8507050;1198458.857;2602820.053
211;Egghölzli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>8 Brünnen Westside Bahnhof</li></ul>";8507050;1198463.046;2602882.605
212;Egghölzli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>40 Kappelisacker</li><li>6 Fischermätteli</li></ul>";8507050;1198416.122;2602894.975
213;Egghölzli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>8 Saali</li></ul>";8507050;1198454.52;2602884.333
214;Eichholz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>29 Wabern Lindenweg</li></ul>";8580567;1197548.504;2600992.259
215;Eichholz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>29 Niederwangen Bahnhof</li></ul>";8580567;1197556.587;2600987.051
216;Eichholz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>9 Wankdorf Bahnhof</li></ul>";8580567;1197513.709;2600993.582
